Orthogroup	Acropora_digitifera	Acropora_millepora	Aiptasia_sp	Amplexidiscus_fenestrafer	Aurelia_aurita_ATL	Aurelia_aurita_PAC	Clytia_hemisphaerica	Dendronephthya_gigantea	Discosoma_sp	Fungia_spp	Galaxea_fascicularis	Goniastrea_aspera	Hydra_vulgaris	Montipora_capitata	Morbakka_virulenta	Nematostella_vectensis	Orbicella_faveolata	Pocillopora_damicornis	Pocillopora_meandrina	Pocillopora_verrucosa	Porites_evermanni	Porites_lobata	Porites_lutea	Porites_rus	Stylophora_pistillata	Total
OG0000049	21	25	33	2	13	6	4	9	3	75	22	34	0	33	4	18	25	36	72	66	37	36	31	26	17	648
OG0000050	17	19	8	6	2	2	3	13	5	31	19	34	4	28	4	4	20	18	40	29	63	128	70	47	33	647
OG0000051	20	44	62	19	48	27	12	0	3	25	15	97	23	57	0	10	1	5	8	2	36	47	23	54	4	642
OG0000052	6	52	26	13	6	4	0	1	21	112	56	128	0	14	0	8	3	6	15	5	27	79	36	21	1	640
OG0000053	20	14	3	10	1	5	1	1	10	81	18	44	1	23	2	15	38	47	66	60	35	35	27	33	34	624
OG0000054	13	42	1	2	0	0	0	1	3	60	25	49	0	47	0	3	36	34	117	56	30	32	20	27	25	623
OG0000055	23	23	21	10	6	6	9	8	8	62	20	60	4	18	5	24	46	21	26	22	45	46	51	33	19	616
OG0000056	0	4	0	4	0	1	0	0	5	96	13	90	0	16	0	12	38	19	43	1	97	69	29	75	0	612
OG0000057	9	8	13	10	45	35	32	18	10	34	16	20	31	12	46	51	31	21	25	16	29	29	28	22	12	603
OG0000058	21	20	19	7	1	0	19	8	2	61	20	33	9	48	2	4	28	24	29	13	63	68	31	47	21	598
OG0000059	0	0	0	0	0	0	2	0	0	0	0	0	595	0	0	0	0	0	0	0	0	0	0	0	0	597
OG0000060	1	1	3	1	346	227	6	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	1	592
OG0000061	9	6	32	46	45	44	19	14	58	7	9	19	0	145	0	1	2	1	3	1	36	36	9	35	12	589
OG0000062	17	6	2	1	0	0	0	3	2	93	34	84	0	10	0	3	34	13	24	24	57	51	50	48	29	585
OG0000063	22	26	17	17	32	17	21	23	16	23	23	23	20	43	23	27	36	20	21	17	22	27	25	25	19	585
OG0000064	0	0	0	0	0	0	0	0	0	0	0	0	584	0	0	0	0	0	0	0	0	0	0	0	0	584
OG0000065	18	20	23	30	29	21	7	11	23	48	22	22	1	29	10	15	27	19	26	27	40	32	26	35	22	583
OG0000066	74	56	23	3	0	0	0	0	3	31	10	24	0	28	0	2	30	16	31	35	47	52	48	42	25	580
OG0000067	18	19	3	27	0	0	0	1	46	14	8	33	0	165	0	3	10	20	30	19	30	52	13	37	27	575
OG0000068	2	62	40	1	35	17	0	1	5	8	15	18	4	40	0	4	2	7	30	11	70	53	20	103	19	567
OG0000069	20	38	19	17	17	15	7	6	7	32	33	68	8	30	0	9	2	10	16	10	32	83	47	28	5	559
