Orthogroup	Acropora_digitifera	Acropora_millepora	Aiptasia_sp	Amplexidiscus_fenestrafer	Aurelia_aurita_ATL	Aurelia_aurita_PAC	Clytia_hemisphaerica	Dendronephthya_gigantea	Discosoma_sp	Fungia_spp	Galaxea_fascicularis	Goniastrea_aspera	Hydra_vulgaris	Montipora_capitata	Morbakka_virulenta	Nematostella_vectensis	Orbicella_faveolata	Pocillopora_damicornis	Pocillopora_meandrina	Pocillopora_verrucosa	Porites_evermanni	Porites_lobata	Porites_lutea	Porites_rus	Stylophora_pistillata	Total
OG0004828	1	1	1	1	0	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	2	2	2	1	32
OG0004829	2	1	1	1	3	3	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	32
OG0004830	3	1	1	1	6	0	1	0	0	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	0	32
OG0004831	2	1	1	1	3	2	1	1	0	1	1	1	2	1	2	1	3	1	1	1	1	1	1	1	1	32
OG0004832	1	1	2	1	2	0	1	2	2	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	1	32
OG0004833	2	1	1	2	1	1	1	1	0	1	1	1	1	2	4	1	1	1	1	0	2	1	2	2	1	32
OG0004834	1	1	1	0	3	2	1	2	1	1	1	1	1	1	2	4	2	0	1	1	1	1	1	1	1	32
OG0004835	3	1	2	2	0	0	0	1	1	1	2	1	0	1	0	2	5	1	1	1	1	1	1	3	1	32
OG0004836	1	1	0	3	0	0	0	3	3	2	1	1	0	1	0	1	2	1	1	1	1	1	4	3	1	32
OG0004837	2	1	1	1	3	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	32
OG0004838	1	1	2	1	1	0	1	1	0	1	1	1	3	1	3	2	3	1	1	2	1	1	1	1	1	32
OG0004839	2	1	2	1	1	2	1	1	1	2	1	1	0	1	1	2	2	1	1	1	2	2	1	1	1	32
OG0004840	1	1	1	1	2	0	2	3	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	32
OG0004841	2	1	2	2	0	0	1	1	2	2	1	1	1	1	0	0	3	1	1	1	1	1	3	1	3	32
OG0004842	2	1	1	1	2	3	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	32
OG0004843	1	1	0	1	1	1	1	1	2	1	1	1	1	2	2	1	1	2	2	1	1	2	2	2	1	32
OG0004844	2	1	1	1	1	1	2	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	32
OG0004845	2	1	1	1	3	3	1	1	1	0	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	32
OG0004846	2	1	1	1	0	0	0	0	3	2	3	2	0	1	0	0	1	2	0	0	1	3	4	4	1	32
OG0004847	1	1	1	1	2	1	2	2	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	32
OG0004848	3	1	0	1	2	3	1	1	0	1	1	1	1	1	3	1	1	1	1	1	3	1	1	1	1	32
OG0004849	1	1	1	1	2	3	1	1	0	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	32
OG0004850	2	3	1	1	0	0	0	0	1	2	2	2	0	3	0	1	0	3	2	2	1	2	1	1	2	32
OG0004851	1	1	1	1	6	0	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	32
OG0004852	2	1	2	1	5	0	1	1	0	1	1	3	1	1	1	2	1	1	1	1	1	1	1	1	1	32
OG0004853	2	1	1	1	1	0	0	1	0	1	1	2	0	2	1	2	1	3	1	1	3	2	3	1	1	32
OG0004854	2	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	2	2	1	2	1	1	0	1	32
OG0004855	4	1	3	1	0	0	0	1	3	2	2	1	0	1	0	2	1	1	1	1	2	2	1	1	1	32
OG0004856	1	1	1	0	1	1	1	4	2	1	0	1	1	2	1	1	3	2	2	1	1	1	1	1	1	32
OG0004857	2	3	0	1	0	0	0	0	1	0	0	4	0	13	0	0	0	0	0	0	2	1	4	0	1	32
OG0004858	1	1	3	1	1	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	32
OG0004859	3	1	1	1	1	2	1	1	1	3	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	32
OG0004860	2	1	1	1	3	3	1	1	1	1	1	1	0	2	4	0	1	1	1	1	1	1	1	1	1	32
OG0004861	2	1	1	1	3	1	1	3	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	32
OG0004862	1	1	0	0	3	3	0	1	0	5	0	2	0	2	0	0	3	2	2	1	1	1	1	0	3	32
OG0004863	2	1	1	1	2	0	1	2	1	3	1	2	1	1	3	1	1	1	1	1	1	1	1	1	1	32
OG0004864	2	1	1	1	1	1	1	1	1	1	1	1	1	2	4	0	3	1	1	1	1	1	2	1	1	32
OG0004865	1	1	1	1	1	3	1	1	2	1	1	1	1	1	2	3	1	1	1	1	2	1	1	1	1	32
OG0004866	3	3	3	1	1	0	0	1	1	1	1	1	0	6	1	2	1	1	1	0	1	1	1	1	0	32
OG0004867	2	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	3	1	1	1	1	32
OG0004868	3	0	1	1	1	1	1	2	0	1	1	1	2	5	1	1	1	1	1	1	2	1	1	1	1	32
OG0004869	2	1	1	1	4	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	32
OG0004870	4	1	1	2	1	0	1	1	2	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	32
OG0004871	2	1	1	1	2	1	1	2	1	1	1	1	2	3	1	1	1	1	1	2	1	1	1	1	1	32
OG0004872	2	1	2	2	0	1	0	1	1	1	1	1	0	1	1	3	1	1	1	2	2	1	1	1	4	32
OG0004873	1	1	0	1	0	0	0	0	1	0	0	1	0	24	1	0	0	0	0	0	2	0	0	0	0	32
OG0004874	1	1	1	1	3	1	1	1	1	2	1	1	3	1	2	2	1	1	1	1	1	1	1	1	1	32
OG0004875	1	1	1	1	3	4	1	2	0	0	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	32
OG0004876	2	1	0	1	3	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	3	1	1	1	1	32
OG0004877	1	1	1	1	2	2	1	4	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	32
OG0004878	3	1	1	1	0	1	1	1	1	2	1	1	1	5	2	1	2	1	1	1	1	1	1	0	1	32
OG0004879	2	1	1	2	3	2	1	1	1	1	1	1	1	1	1	3	2	0	1	1	1	1	1	1	1	32
OG0004880	1	1	1	1	2	6	1	0	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	32
OG0004881	1	1	1	0	4	4	1	3	0	1	1	1	2	1	2	1	1	1	1	1	1	1	1	0	1	32
OG0004882	1	1	1	1	3	2	1	1	1	1	1	3	2	2	1	1	1	1	1	1	1	1	1	1	1	32
OG0004883	2	1	1	1	1	2	1	2	1	1	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	32
OG0004884	2	1	1	1	2	3	0	0	2	1	1	1	1	2	0	1	3	2	1	1	1	1	2	1	1	32
OG0004885	1	1	1	1	2	2	1	1	1	1	2	1	1	1	4	2	1	1	1	1	1	1	1	1	1	32
OG0004886	1	1	1	1	3	3	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	32
OG0004887	2	1	3	1	1	2	0	2	2	2	1	1	0	1	0	0	2	1	1	2	2	2	1	1	1	32
OG0004888	2	1	1	1	1	2	1	1	1	1	1	1	0	3	1	1	1	1	1	2	2	1	1	3	1	32
OG0004889	2	1	1	1	2	1	1	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	2	1	32
OG0004890	1	1	1	1	1	0	2	1	3	1	1	2	0	2	1	0	5	1	1	1	3	1	1	1	0	32
OG0004891	3	3	0	0	0	0	1	0	1	2	1	1	1	2	0	2	1	2	1	1	1	2	4	2	1	32
OG0004892	1	1	1	1	2	1	1	1	1	1	1	1	2	5	1	2	1	1	1	1	1	1	1	1	1	32
OG0004893	2	1	1	1	1	1	1	3	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	2	32
OG0004894	2	1	2	1	2	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	32
OG0004895	3	1	1	1	1	2	1	1	1	1	1	1	2	2	1	0	3	1	1	1	1	1	1	1	2	32
OG0004896	1	1	3	1	1	3	1	1	0	1	2	1	1	1	1	2	1	1	1	2	2	1	1	1	1	32
OG0004897	1	2	1	1	1	3	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	32
OG0004898	3	1	2	1	1	0	2	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	1	1	32
OG0004899	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	1	2	32
OG0004900	1	1	1	1	1	3	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	2	32
OG0004901	1	1	1	1	2	3	1	0	2	1	1	1	1	1	3	2	1	1	1	1	2	1	1	1	1	32
OG0004902	1	3	2	0	0	0	0	0	0	0	2	3	0	0	0	6	0	2	1	0	3	2	2	5	0	32
OG0004903	1	1	1	1	3	2	1	3	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	32
OG0004904	1	2	2	0	1	0	0	0	1	2	2	2	0	2	1	2	2	2	2	0	2	2	2	1	1	32
OG0004905	1	1	1	1	2	5	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	32
OG0004906	2	1	1	1	1	1	1	2	3	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	32
OG0004907	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	2	2	2	1	1	4	2	2	2	1	32
OG0004908	1	1	1	1	5	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	32
OG0004909	1	0	2	1	2	2	1	1	1	1	1	1	0	1	3	0	6	1	1	1	1	1	1	1	1	32
OG0004910	1	1	1	1	1	0	0	1	1	1	1	1	0	2	1	9	3	1	1	1	1	1	1	0	1	32
OG0004911	2	2	1	1	2	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	32
OG0004912	2	2	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	1	0	7	6	3	3	0	32
OG0004913	1	1	1	1	1	2	1	1	2	2	1	1	1	1	3	1	2	1	1	1	2	1	2	1	0	32
OG0004914	1	1	1	0	4	2	1	3	0	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	32
OG0004915	2	1	1	1	1	0	2	2	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	3	1	32
OG0004916	2	1	1	1	2	4	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	32
OG0004917	2	1	1	2	2	2	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	32
OG0004918	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	2	1	32
OG0004919	2	1	1	1	2	1	1	1	0	1	1	2	1	1	4	1	3	1	1	1	1	1	1	1	1	32
OG0004920	3	1	1	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	32
OG0004921	1	1	2	1	1	0	1	1	2	2	1	3	1	3	0	1	1	1	0	1	1	2	2	3	0	32
OG0004922	1	1	1	1	2	3	1	2	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	32
OG0004923	1	1	1	1	3	2	1	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	32
OG0004924	1	1	1	1	1	4	1	2	1	2	0	3	1	2	1	2	1	0	1	1	1	1	1	1	1	32
OG0004925	2	1	1	1	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	32
OG0004926	7	0	0	0	0	0	6	2	1	1	1	3	0	6	0	0	1	0	0	0	1	2	1	0	0	32
OG0004927	1	1	4	0	3	1	1	3	0	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	0	32
OG0004928	2	1	1	1	1	3	1	1	0	1	1	1	0	1	3	1	2	1	1	2	1	1	2	1	2	32
OG0004929	2	1	1	1	1	2	1	1	1	1	1	1	2	2	3	1	1	1	1	1	1	1	2	1	1	32
OG0004930	1	1	1	1	1	1	1	2	2	1	1	1	1	1	5	1	1	1	1	1	1	1	2	1	1	32
OG0004931	2	1	1	1	3	2	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	32
OG0004932	1	1	1	1	4	2	2	1	1	1	0	1	1	3	2	1	1	1	1	1	1	1	1	1	1	32
OG0004933	1	1	3	1	1	1	1	1	1	1	1	2	2	1	3	1	1	1	1	1	2	1	1	1	1	32
OG0004934	2	1	1	2	2	3	1	1	1	3	1	1	1	2	1	1	1	1	0	1	1	0	2	1	1	32
OG0004935	1	1	1	1	0	0	0	1	1	2	1	2	0	1	0	2	1	1	1	1	3	3	2	5	1	32
OG0004936	1	1	1	1	4	0	2	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	32
OG0004937	2	1	1	1	2	3	1	0	1	1	2	1	0	1	2	1	4	1	1	1	1	1	0	2	1	32
OG0004938	1	1	1	1	2	2	1	1	1	1	1	1	1	2	4	1	1	2	1	1	1	1	1	1	1	32
OG0004939	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	2	1	2	0	2	1	1	1	1	32
OG0004940	1	1	1	2	2	1	2	1	1	1	1	1	2	2	2	1	1	1	2	1	0	2	1	2	0	32
OG0004941	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	3	1	1	1	1	1	1	2	1	32
OG0004942	1	1	1	1	1	1	2	3	1	1	1	0	2	2	1	2	2	1	1	2	1	1	2	0	1	32
OG0004943	2	1	1	1	1	4	1	1	0	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	2	32
OG0004944	1	1	1	1	1	3	1	1	1	1	1	1	1	4	3	1	1	1	1	1	1	1	1	1	1	32
OG0004945	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	2	1	32
OG0004946	1	1	1	2	2	1	0	2	1	1	1	1	0	4	1	2	1	1	1	1	1	1	3	1	1	32
OG0004947	1	1	2	1	2	0	1	2	1	1	1	2	2	1	1	2	2	1	1	1	2	1	1	1	1	32
OG0004948	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	3	1	2	1	1	2	1	32
OG0004949	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	32
OG0004950	1	1	1	1	2	2	1	0	1	1	2	1	2	1	2	2	2	1	1	0	2	1	1	1	2	32
OG0004951	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	3	1	1	1	1	2	1	1	1	32
OG0004952	2	3	2	0	0	0	0	0	1	4	2	2	0	3	0	0	2	2	1	2	1	1	0	2	2	32
OG0004953	1	1	1	0	1	2	1	1	3	1	2	1	1	2	1	2	3	1	1	1	1	1	1	1	1	32
OG0004954	2	1	1	0	3	3	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1	1	1	1	32
OG0004955	1	1	2	1	1	2	1	2	1	1	1	1	0	1	2	2	2	2	1	1	1	1	1	2	1	32
OG0004956	1	1	1	1	3	3	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	32
OG0004957	4	0	0	1	0	0	0	1	0	1	0	3	0	3	0	0	2	1	1	2	4	3	1	4	1	32
OG0004958	3	1	1	1	1	1	1	2	0	2	1	1	1	1	4	1	3	1	1	1	1	2	1	0	0	32
OG0004959	1	1	1	1	3	0	1	1	1	1	1	1	4	2	1	1	2	1	1	1	1	1	1	2	1	32
OG0004960	1	1	1	1	3	2	1	2	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	32
OG0004961	2	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	5	1	4	2	1	32
OG0004962	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	2	1	1	3	1	32
OG0004963	1	1	2	1	3	2	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	32
OG0004964	1	1	2	1	2	1	1	2	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	32
OG0004965	2	1	1	1	4	3	0	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	0	32
OG0004966	1	1	1	1	3	2	0	1	0	1	1	1	1	2	4	1	2	1	1	1	2	1	1	1	1	32
OG0004967	2	1	1	1	1	2	1	2	1	2	1	1	2	1	1	2	0	1	1	1	3	1	1	1	1	32
OG0004968	2	1	1	1	3	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	32
OG0004969	1	1	3	0	1	0	2	3	0	2	1	1	2	1	1	3	1	1	1	1	2	1	1	1	1	32
OG0004970	1	1	1	1	3	3	1	1	1	1	1	2	1	1	3	1	1	1	1	1	1	1	2	1	0	32
OG0004971	1	1	1	1	4	2	0	2	1	1	1	1	3	1	1	1	1	1	1	1	1	2	2	0	1	32
OG0004972	1	1	1	1	3	2	1	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32
OG0004973	1	1	1	2	1	0	1	5	1	1	1	1	2	1	3	2	1	1	1	1	1	1	1	1	0	32
OG0004974	1	1	1	1	2	1	2	1	1	2	1	1	3	1	1	3	1	1	1	1	1	1	1	1	1	32
OG0004975	1	1	1	1	3	1	1	2	2	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	32
OG0004976	2	1	1	1	1	1	1	2	1	1	1	1	2	1	3	0	2	1	1	1	2	2	1	1	1	32
OG0004977	2	1	1	1	1	2	2	1	1	3	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	32
OG0004978	1	1	1	1	2	1	2	2	2	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	32
OG0004979	1	1	1	1	1	1	1	2	0	1	1	1	0	1	3	0	0	1	1	1	5	4	2	1	1	32
OG0004980	2	1	1	1	0	2	1	1	2	1	2	1	0	2	1	0	5	1	1	1	2	1	1	1	1	32
OG0004981	2	1	1	1	2	3	1	1	1	1	1	1	0	2	2	1	1	1	1	1	1	1	1	3	1	32
OG0004982	1	1	2	1	3	0	1	1	1	1	1	1	1	2	3	1	3	1	1	1	1	1	1	1	1	32
OG0004983	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	0	1	1	2	1	2	2	1	3	1	32
OG0004984	3	1	0	1	1	1	1	3	1	1	1	1	3	2	2	1	1	1	1	1	1	1	1	1	1	32
OG0004985	1	1	2	1	1	0	1	1	0	2	2	2	1	2	0	1	2	2	2	2	1	1	1	1	2	32
OG0004986	1	1	0	2	1	1	1	1	0	0	1	2	1	3	3	1	3	2	1	0	3	2	1	1	0	32
OG0004987	2	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	32
OG0004988	1	1	1	1	2	3	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	1	1	1	32
OG0004989	1	1	1	1	2	4	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	32
OG0004990	1	1	2	2	0	0	0	2	3	2	2	1	1	1	0	1	3	1	1	2	2	1	1	1	1	32
OG0004991	2	1	1	1	2	1	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	2	1	32
OG0004992	1	1	3	1	2	3	0	0	1	1	1	1	1	1	0	2	4	1	1	1	1	1	2	1	1	32
OG0004993	1	1	1	1	2	2	1	1	1	1	1	1	1	3	3	1	2	1	1	1	1	1	1	1	1	32
OG0004994	1	1	1	1	0	0	0	11	1	2	1	1	0	1	0	1	1	1	1	1	1	1	1	2	1	32
OG0004995	1	1	1	1	3	2	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	32
OG0004996	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	1	32
OG0004997	2	1	1	1	4	1	1	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	32
OG0004998	1	1	1	2	2	0	1	1	2	2	1	1	1	2	1	1	2	1	1	1	2	1	2	1	1	32
OG0004999	1	1	1	1	4	3	1	2	0	2	0	1	2	1	1	1	2	1	1	1	1	1	1	1	1	32
OG0005000	2	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	2	3	3	2	1	1	1	1	1	32
OG0005001	3	2	1	1	1	0	1	1	1	1	1	1	2	1	3	2	1	1	1	2	1	1	1	1	1	32
OG0005002	1	1	1	1	1	0	2	1	1	1	1	1	2	1	2	1	1	2	4	1	1	1	2	1	1	32
OG0005003	2	1	1	1	1	0	1	2	1	1	1	2	2	1	3	1	1	1	1	1	1	1	3	1	1	32
OG0005004	1	1	1	1	1	2	1	1	1	1	0	1	1	3	3	1	2	1	1	1	3	1	1	1	1	32
OG0005005	2	1	0	1	3	2	2	1	1	1	1	2	0	1	2	1	3	1	1	1	1	1	1	1	1	32
OG0005006	2	1	1	1	1	1	1	1	1	1	1	1	0	2	2	3	2	1	1	1	2	1	2	1	1	32
OG0005007	1	1	1	1	4	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	2	1	1	1	32
OG0005008	2	2	0	0	0	0	0	0	0	2	0	2	0	7	0	0	4	2	2	2	1	2	1	1	2	32
OG0005009	1	2	1	1	1	1	1	1	1	1	1	2	1	1	0	1	1	3	4	1	1	1	1	2	1	32
OG0005010	1	1	1	1	1	2	2	4	1	1	1	1	2	1	1	1	2	2	1	0	1	1	1	1	1	32
OG0005011	3	1	2	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	32
OG0005012	1	1	1	2	2	2	0	4	1	2	1	1	0	1	0	2	2	1	1	1	1	1	2	1	1	32
OG0005013	1	1	0	1	1	3	1	1	1	1	1	1	2	1	4	2	2	1	1	1	1	1	1	1	1	32
OG0005014	2	1	1	1	2	0	0	1	1	2	1	1	0	1	0	2	7	1	1	1	1	1	2	1	1	32
OG0005015	2	1	1	1	1	3	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	32
OG0005016	1	1	1	1	2	5	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	0	1	32
OG0005017	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	2	2	2	1	1	32
OG0005018	1	1	1	2	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	4	1	32
OG0005019	2	1	1	1	1	3	1	1	0	1	1	1	1	1	1	1	3	1	1	1	3	1	0	3	1	32
OG0005020	1	1	1	1	3	3	1	1	0	2	2	1	0	1	1	1	2	1	2	2	1	1	1	1	1	32
OG0005021	1	2	0	1	0	0	0	0	0	2	1	2	0	2	0	0	2	2	2	2	4	2	2	3	2	32
OG0005022	1	1	2	1	1	2	1	1	3	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	32
OG0005023	1	1	1	1	3	3	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32
OG0005024	1	1	1	1	0	0	0	5	1	1	1	1	0	2	0	0	7	1	1	2	1	1	1	1	2	32
OG0005025	2	1	1	2	1	1	1	1	0	1	1	1	2	1	1	2	2	1	1	1	2	2	1	2	1	32
OG0005026	2	1	2	1	3	4	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	32
OG0005027	1	1	1	1	2	1	2	1	2	1	1	1	0	1	1	1	6	1	1	1	1	1	1	1	1	32
OG0005028	1	1	1	1	5	2	1	1	2	1	1	1	3	1	1	1	1	1	1	0	1	1	1	1	1	32
OG0005029	1	1	0	0	3	2	2	2	2	0	2	1	0	1	3	1	2	1	1	2	1	1	1	1	1	32
OG0005030	1	1	2	1	2	1	1	1	2	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	32
OG0005031	1	1	1	1	3	2	1	1	1	2	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	32
OG0005032	1	1	1	1	1	3	1	2	1	2	1	2	1	1	1	1	4	1	1	1	1	1	1	0	1	32
OG0005033	1	1	1	1	1	2	1	1	3	1	1	1	1	1	2	1	2	1	1	1	2	1	1	2	1	32
OG0005034	1	1	2	1	4	1	0	2	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1	32
OG0005035	1	1	2	1	3	4	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	32
OG0005036	1	2	1	1	1	2	2	3	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	32
OG0005037	1	1	1	1	1	3	1	1	2	1	1	0	3	1	1	1	3	1	2	1	1	1	1	1	1	32
OG0005038	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	3	3	1	1	1	1	1	1	1	1	32
OG0005039	1	1	2	1	1	1	1	2	1	2	1	1	3	2	1	1	1	1	2	1	1	1	1	1	1	32
OG0005040	2	1	2	1	1	3	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	32
OG0005041	1	1	1	1	4	2	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	32
OG0005042	1	1	1	1	2	3	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	2	1	32
OG0005043	2	1	1	1	2	0	1	1	1	1	1	1	1	2	2	1	3	1	1	2	2	1	1	1	1	32
OG0005044	1	1	1	1	3	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	32
OG0005045	1	1	1	1	3	1	1	1	2	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	32
OG0005046	1	2	1	1	5	0	1	1	1	2	1	1	0	2	2	0	3	1	1	1	1	1	1	1	1	32
OG0005047	6	1	2	2	0	0	0	1	1	1	1	1	0	1	0	3	2	1	1	1	2	1	1	2	1	32
OG0005048	2	1	1	1	3	0	1	1	1	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	2	32
OG0005049	1	1	3	1	3	2	1	1	0	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	32
OG0005050	0	1	2	2	4	4	1	1	0	1	1	1	0	1	2	1	3	0	1	1	1	1	1	1	1	32
OG0005051	0	1	1	1	1	2	2	0	1	2	2	2	0	1	0	0	3	1	1	1	2	2	3	2	1	32
OG0005052	0	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	2	2	2	2	1	1	2	32
OG0005053	0	1	1	1	1	0	1	5	1	1	1	1	1	1	0	1	1	1	2	2	2	4	1	1	1	32
OG0005054	0	1	1	2	1	2	1	1	1	1	1	3	1	1	5	1	1	1	1	1	2	0	1	1	1	32
OG0005055	0	1	1	0	0	0	0	0	0	3	1	8	0	2	0	0	0	5	3	1	3	0	2	0	2	32
OG0005056	0	2	1	0	2	1	1	2	2	1	1	1	2	1	2	1	0	1	1	0	4	1	2	2	1	32
OG0005057	0	2	1	1	3	4	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	32
OG0005058	0	1	2	1	1	0	1	3	0	5	1	1	1	1	1	2	2	1	2	2	1	1	1	0	1	32
OG0005059	0	1	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	2	2	1	2	2	1	32
OG0005060	0	2	0	0	7	7	0	0	0	1	1	1	0	11	0	0	0	0	0	0	0	0	0	2	0	32
OG0005061	0	1	2	1	2	1	1	3	1	1	1	1	2	0	1	2	3	1	1	2	1	1	1	1	1	32
OG0005062	0	1	0	1	1	2	0	1	2	4	1	2	0	1	0	1	2	1	1	1	2	2	2	3	1	32
OG0005063	0	3	1	2	3	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	32
